losDeBxNKjwaDdio,5,SqNMIxUndfpmIbId
DChDuokwVMMTCwov,1,AlcHTjBfIcBPcPwu
CNBlUFLgoCsgLSCq,10,pphYnRApIhxhepXK
kAUFBjVCitSIoVxp,9,weqEdqQDBvyinebo
pKdPzuKrjociXLfN,8,roanurfLnTFCJzov
rkXvJOAMDIkdxczw,5,cHyPXziWneNQEaYf
rUZUPbEbYJehLZTm,5,yFfxvRFnHbjTViIU
SVsMuMsoVwhJCjCU,7,EYfDyYzHWYtZEUoH
wJzyiCqMMKzDhwaI,9,PRmAFDmfxHxxziPy
JzNSMPqfIHwdFlbU,9,iBhrCdLNBueDLmgS
HXpRPueEeIiuZIrY,2,xBKFtIdiNaGVREcQ
DmDPNclsOTlduqrG,8,xuJqWbvDMnDqkJxj
OCFxtdEdvpCKIonj,8,FypQBLeHPRBapfBj
esYJvOOuEWQlXGns,9,PRmAFDmfxHxxziPy
JVyKuhdBKPjDrEoG,8,EabpeLzhIDRpVagW
EPjnJpBsUjussQqc,8,IhaJSEesAvUPzZFU
MoGiqCbHrIwBZKiI,6,rDDcalkINeFyItrN
suaRZqQQNVyegkyL,6,TiXZmUSMWXmdkoYD
BPIuvCiYrvWlOJOe,6,BDFZujBDOPNqnmpF
IyoeFPuSBoDtleKz,4,EJhgHAXguKSoxFNm
ZaCnjCyCwfzgAIhW,9,pLTffAJuWiCktnPX
gshXqPxbGAWVDrGb,1,RVyAuKDrbuSobVUd
caarDZnTiRJhaSBI,2,DnBNQbrlOgvLrNIX
vWMhVBxsswaZKrTn,4,jdpeUsqZziUKsrah
ONaXpXDfoOLSwWho,4,qYVXlnzRLAnikzXh
jltThTwbhHGpXsJV,3,fabbWuEpPTvRJmqX
HwUJrlkqLbljYhbf,1,XxwFvQbMERonXRSZ
lrbsPwsQAMLZoUvN,4,ccrEEXsdfkxJRDDn
DCRWOgwtdAvgfxug,4,KXRXNZoBHOajtGIr
PYWXAVJhLaFqbmCO,10,nUBjiwuxHhZKieRR
UWHUkoYAvxilLAIM,7,lOKHxBCwsHPWamkq
jpwfMHZPnmoEeCUy,10,gZSiERfjLzroMVZY
bohcCQllwYSQTJIr,5,bicfaZLMqfkoPmvY
ihZWwihmEQtMsKei,8,ZXDZjcOxoTCDdrkv
PuCpngMrIsJkhNlP,4,HRZjQHSWJGGnvrQW
oHNONAfjjiIiGZmr,10,drKhtRPYdenxZetp
PxEmPKWbXhdtBOWy,5,itpprTxenjbfwTTd
eMAHeLgkTbFVqAcw,8,cHyPXziWneNQEaYf
uNqGtlacHBatvwDo,4,TiXZmUSMWXmdkoYD
EYtSJJkDjIBZHxKz,9,okiLBGYVMkKGvcqy
SSUPrBGjVOJGTYvP,5,vjDpiVqGmBnjCiSA
VeqJlcpVNtlSthfm,9,ChzlKlXldPMcHeQg
hZFyZVuZFrnPrbdT,3,mvMJGgVEHDeKBeek
nSLUdXaitJWDluTz,9,GBeDcxGJScXPKQtv
UNWkkjrRkqJHNrqH,3,JtwpVCmoTuVMlbHI
OAPuhVUbsjLTfpVz,9,UffyvRGWYdljZseO
WfuHciIvGuHIiBLc,5,HSsRJdFptIeUyxEI
LPCoubyOStojLjWs,7,ysMbYPLxqOiBhudA
JDLJEaqcjaMTJOVE,3,rcxNkEvipXeJkCmH
CiWjjPyxmmODeZkh,6,roanurfLnTFCJzov
KTMiUQhATlIAruGl,10,vOEhATaSgJJJIoTZ
zqXDFMNiDYbmLaLx,2,GBeDcxGJScXPKQtv
xKRbUQTKykcLqDYK,3,PRmAFDmfxHxxziPy
SexCNBiXTukxNhKI,8,YNiDKwRMnFDulPhB
tfuCUPNPBPuezqPB,9,KWyHHcezBPaShfcN
RpfhRlulyWfodPgK,1,QycHIkbyYkFEpiKQ
VzRaoawCjaDIiHPy,1,PRmAFDmfxHxxziPy
fKltEAiPhhSyFFFN,4,fbtWZvzpjmdtklLB
ErWdAkDWSJEDnAow,1,DnBNQbrlOgvLrNIX
PNAUPmZGyfpqkXpL,1,VJQXsNZNwtHiYFOU
ZBKSfHlahxDstdZL,8,KzdhOIioiKRnWbUj
KqMwzrFIYEDNWQIR,9,rofMLjnQwgPTBBfm
PGFSXoyWFPxUszyO,10,lKnGDIJWZNKNibwh
WUAnPqFshcvdmgtI,6,IKYXFsVoLsssdSpl
kjnKqORyeYuqmaqH,4,BTIxfGMuDRFLMyrD
bYLGrdynGNTwQxBd,3,weqEdqQDBvyinebo
SiZdXfZPgUNpePpS,3,NvaHOfmJTarrOvLz
vORIKHqGNwMlTPaF,2,WMNCizIEQrLFRpDA
gvwckxZATFbueDPy,7,YGogPTquhBmteUjK
ttYiDBNfScJWjxaD,3,SBEaGyuIfAUYBDXi
zSnIdflJDZDeKZJB,2,YpUCFrndqwiMAssg
JMRDiuNiPsYzMNeC,6,trLaaztFebESAykK
WqZtioFwSvtjoCbU,6,KAHdNYvvwcAxTQjr
ADTaSuUWvOqJZSen,8,cVOwwDbjaOBTpoTe
ZCrfeAlJesexmimu,9,CfyjTlQRBuaroIJg
GXeYXHTFRhBHOXpV,4,MxnZrqYiznyEVBBj
JryVjRYeYYlfHGQf,2,IKYXFsVoLsssdSpl
ShjwqwLomGNwoctA,7,wvyNMOcBmzalAyJU
PuuvTCajOKvcSgwA,9,UBIqCNBzmJdUXouL
ZaLbiHyGHOWzjDIN,1,hkcaHxEPVUuzdrIr
HYAEdSJEZWrpBrkn,7,KilXEKMclGxyvvbp
zbEIDRCakipKCxEw,7,ZcrnsOskxlyLBWEl
gAKptLBXyLxvEOBL,7,aovmEaNihfNkgkRm
ZdGDANznBKYgQchp,2,gTlFakeJUTJCAeZa
BbvYGBdnUktwtBqq,10,siXPmatWDWotlUuN
MLwhnvZJNEaeotQN,4,FCslpgNzRbstskZk
KZufKmqgcJyHOuGU,9,llSwWbaytyZykTeO
cHRFCZUJRTWyiquH,9,HRZjQHSWJGGnvrQW
SrOsSJCYSqhGTXoN,1,dHOwxDKSsUmvnXDV
WCdAvAhPMMFyaXbu,9,MxnZrqYiznyEVBBj
NVTiDtpPVDcPHEvS,1,wvyNMOcBmzalAyJU
VqqCEpvjeHjQGLdg,4,IDNiGiSDFgoBUwkD
HqNigGmfZsprAQru,7,dzMbltyoNAPcGrLX
DpdgruJPtsfZGaFe,7,gTlFakeJUTJCAeZa
JcwWsLqZfFROcxVn,10,XHnodxRzRquwzsJZ
SaMAqxipqFYcUIFb,7,wEOXrfiNfkwOJYIH
mAjNZHStxFFjzWsL,10,xBKFtIdiNaGVREcQ
OypAQKiOgNflrdGW,5,McEAPBbfUXKRofbW
HtIatFZsrXxwvhvU,4,VpoXdGWWfJoqwNpa
edVVesVSIbgnoofX,10,RZRyKjdnVFrAxewR
AqIjlXspvvJGHOgY,2,CeltbbnVOQhkkjaQ
lOyTeVvTBpwQRHto,2,bFMNAHJyykevgyXj
OoBqZQMSkeswmOwQ,1,PxKhjeEcFtqOlqcE
rPlvYqbxIbeZRvSA,8,eVFaBVDTQJVIMzRP
BoiVaUmXiGfkuQzw,5,hwbDIavAHUSyEvYh
rALhjioESlULqYlY,6,xyPkHckmFOUIABtK
MteChNIvrbmqAYQz,5,hTonVtFsbHwmDOXp
ZlwuhfyYJkfNkZli,6,FzoXNwnExGlAfrSk
fHvCPTlMlPoNCmfq,5,flknzNSwXvalRxPz
sUozofSABQjkyWon,4,vbhYdirLDtaKhhTS
vwXNPJopDEtUNGsb,4,cfgdjtahmMwhgYxZ
NRwVSCaLWWNrJHud,2,jTHqXdqQfXitAJuS
bmbayudLcuPsQKRH,3,ilMVjKVJSLUnlwFg
ClXhgzntuevxJsOG,3,yuHctXRFYjihMrWg
mJWlptMERRsFojhE,6,bFMNAHJyykevgyXj
xfkosSqiWNDUmUUo,3,jTHqXdqQfXitAJuS
MhNPRdEWdoycJuYN,2,gtZdEusPXAKLqdgw
jJwVGWfPuRcgbhds,8,AZJOcJcjrCXWkcQr
oEpkQgKecUGDWnqj,6,zuDHqgFyjUWzKuYA
QOwDKRDrSioVkVDM,4,sSvgVqznFhZgFvib
mxCmLSWKJeJVMGWY,3,jdlJyRzUJGVgRhpE
VxbelIwUPwXsJlwg,2,idVJbzgjPnAIUbyx
NCTdCymawfKNPvXP,6,FCslpgNzRbstskZk
QlsNEOcyPEnpcdQk,6,uLfMtQXxEPxmioyM
RMqgiXHzUiqwcPTL,1,XyXbRqsKkHINIymt
CpxluCZhLnCBnbIv,3,CIPlRWqhzHkdTxia
ZYMwECzUaVoRfbtm,6,RZRgKomqPHnwLGyV
KkDgTPIRAIPcNKvC,8,xMZfftqqqQUHCGng
MsnlXRgAVAlgDInk,6,QLtOKqDGvOQitCbJ
gZefXMbwZSTdTPwI,8,LcPHJAPOudSsUqsJ
NWuLRiWXZZptesFL,5,FzoXNwnExGlAfrSk
TgOnlAylJOxESpPh,10,oAlwaIQcrzSbHoTv
qHPrNMuyLsJVCJUX,8,KNoCwFstEXPoATtv
obdJZhzfjQGkRPkK,7,ulluIGwHaRtkazWs
oiynqNWmhzcshvml,9,fbtWZvzpjmdtklLB
dDfZrccQiwwnlvdY,6,DQCothiLpZGaJGAO
FOvgvpgGzGeQFJhr,6,pdsIitLysbIDMTzf
TQuYdLOmNZzBebSG,5,GUAakXydoXAAGbFT
xBJlrLaOtdPdwjgj,1,UUjusNnZyZPetTbX
ovTrLhKOVxhEAXdg,6,RmoBYrAFKlMjkcmn
JAGqKiphrnHRNyhv,9,zBdtrTJxlrGvEAhx
FNQWtddxHyBMGKLO,10,JxHCRwvitRyoQibf
MWNbBEBngXJxVtLS,10,HpdBLhwRiPxdTVHi
xVDqdYKfcbHEZIDk,2,EabpeLzhIDRpVagW
nKUhiGwyxNjdqCDB,10,EsppdBEkjbeAZAmQ
LQAAezawhDHiGqEC,2,BTIxfGMuDRFLMyrD
EYUIrnrRjwJdSzDw,7,IgiiWrixjXVoinBu
EyRCgHRoPdPwDkiO,10,GUAakXydoXAAGbFT
CYMhvYFjzbyFVgXu,7,pWbhuqnQTGgiAViM
kljHaZnmNtZyIQjG,7,ZLCyMZKNhSVvGGaJ
inTbylYAFeqObvwq,8,dEBEbajjzQXFAkbO
JrXvEAOxSWewxmjj,9,SqNMIxUndfpmIbId
pDjovDAOoUfGesFF,9,imqZFSjfjmUTthLI
pibYUAjtIGtHMveo,2,iILnDFkdWhZkivjQ
lrttDxhaJRetDPdN,4,gTlFakeJUTJCAeZa
xWWkZfLSmpoRecCd,8,dEBeSbBAPdUqsyJC
PqWSltjtSbPruVYG,10,iJAtqaLsLFiBEaRr
KUpXunjYdAtaQkVv,1,DsHWcRuMRChnyRhQ
yqWQcgvcrtRRRXBD,8,kabZnxwqSBsWfejQ
zIwjEQYTejqAFMkR,5,vgrFLyluUYreseIv
mOSvMjlXGgWMVyHN,1,coJBmoyYsQaBhZFS
QIcODFPpXKnbYQsf,3,xXvBMcQtKmJdMlQu
PtRJXQYlybIZQneb,6,mrRFPJwYqVVbGYvt
rLcxdtPvOqQSgpSN,3,jDJzGJDfHfyrDOCe
tOZcYqdHiErlWKLs,3,UUjusNnZyZPetTbX
NWuBSjKBZKxOMuHv,1,pWbhuqnQTGgiAViM
BpAJuTGwNUpMwInw,4,HLBpXxGZoDnOncTR
kqYSHHdDqtuPDdMv,1,PrjkqOQJzKqCRujJ
kbaaimtastMXIfmX,7,BhQKKihpwJDcrWzA
ZopYRrkWpjKtBGKp,4,fWWZgLoGQhUCOVJA
tzQhjWHyArIngebQ,5,nqqFupVfHBgBFYsM
oBUQAflxQxctnZlm,5,jjokpxTPTSEngdxY
yCgrVHaGEvWzuZbB,8,vuJDDhNKLfhGbUfl
orVPjkeoHmSRKQvt,4,bXqZPHIXzfCNZiGa
